game,result,game_state
1,1/2-1/2,2b1k3/Qpqppp1r/3p2p1/3P3p/5P2/PN1BP1n1/1P3Kn1/RNB5 w - - 4 23
1,1/2-1/2,2b1k3/Qpqppp1r/3p2p1/3P3p/5P2/PN1BP1n1/1P4K1/RNB5 b - - 0 23
1,1/2-1/2,2b1k3/Qpqpp2r/3p2p1/3P1p1p/5P2/PN1BP1n1/1P4K1/RNB5 w - - 0 24
1,1/2-1/2,2b1k3/Qpqpp2r/3p2p1/3P1p1p/5P2/PN1BPKn1/1P6/RNB5 b - - 1 24
1,1/2-1/2,2bk4/Qpqpp2r/3p2p1/3P1p1p/5P2/PN1BPKn1/1P6/RNB5 w - - 2 25
1,1/2-1/2,2bk4/Qpqpp2r/3p2p1/3P1p1p/5P2/PN1BPKn1/RP6/1NB5 b - - 3 25
1,1/2-1/2,2bk4/Q1qpp2r/3p2p1/1p1P1p1p/5P2/PN1BPKn1/RP6/1NB5 w - - 0 26
1,1/2-1/2,2bk4/2Qpp2r/3p2p1/1p1P1p1p/5P2/PN1BPKn1/RP6/1NB5 b - - 0 26
1,1/2-1/2,2b5/2kpp2r/3p2p1/1p1P1p1p/5P2/PN1BPKn1/RP6/1NB5 w - - 0 27
1,1/2-1/2,2b5/2kpp2r/3p2p1/1p1P1p1p/5P2/PN1BP1K1/RP6/1NB5 b - - 0 27
1,1/2-1/2,8/2kpp2r/b2p2p1/1p1P1p1p/5P2/PN1BP1K1/RP6/1NB5 w - - 1 28
1,1/2-1/2,8/2kpp2r/b2p2p1/1p1P1p1p/5P2/PN1BP1K1/RP1N4/2B5 b - - 2 28
1,1/2-1/2,8/2kppr2/b2p2p1/1p1P1p1p/5P2/PN1BP1K1/RP1N4/2B5 w - - 3 29
1,1/2-1/2,8/2kppr2/b2p2p1/1p1P1p1p/5P2/P2BP1K1/RP1N4/N1B5 b - - 4 29
1,1/2-1/2,1k6/3ppr2/b2p2p1/1p1P1p1p/5P2/P2BP1K1/RP1N4/N1B5 w - - 5 30
1,1/2-1/2,1k6/3ppr2/b2p2p1/1p1P1p1p/P4P2/3BP1K1/RP1N4/N1B5 b - - 0 30
1,1/2-1/2,1k6/3pp3/b2p1rp1/1p1P1p1p/P4P2/3BP1K1/RP1N4/N1B5 w - - 1 31
1,1/2-1/2,1k6/3pp3/b2p1rp1/1p1P1p1p/P4P2/4P1K1/RP1N4/NBB5 b - - 2 31
1,1/2-1/2,8/2kpp3/b2p1rp1/1p1P1p1p/P4P2/4P1K1/RP1N4/NBB5 w - - 3 32
1,1/2-1/2,8/2kpp3/b2p1rp1/1p1P1p1p/P4P2/3BP1K1/RP1N4/N1B5 b - - 4 32
1,1/2-1/2,8/2kppr2/b2p2p1/1p1P1p1p/P4P2/3BP1K1/RP1N4/N1B5 w - - 5 33
1,1/2-1/2,8/2kppr2/b2p2p1/1P1P1p1p/5P2/3BP1K1/RP1N4/N1B5 b - - 0 33
1,1/2-1/2,8/2kppr2/b2p2p1/1P1P1p2/5P1p/3BP1K1/RP1N4/N1B5 w - - 0 34
1,1/2-1/2,8/2kppr2/b2p2p1/1P1P1p2/5P1p/3BPK2/RP1N4/N1B5 b - - 1 34
1,1/2-1/2,8/1bkppr2/3p2p1/1P1P1p2/5P1p/3BPK2/RP1N4/N1B5 w - - 2 35
1,1/2-1/2,8/1bkppr2/1P1p2p1/3P1p2/5P1p/3BPK2/RP1N4/N1B5 b - - 0 35
1,1/2-1/2,1k6/1b1ppr2/1P1p2p1/3P1p2/5P1p/3BPK2/RP1N4/N1B5 w - - 1 36
1,1/2-1/2,1k6/1b1ppr2/1P1p2p1/3P1p2/2B2P1p/4PK2/RP1N4/N1B5 b - - 2 36
1,1/2-1/2,1k6/1b1pp1r1/1P1p2p1/3P1p2/2B2P1p/4PK2/RP1N4/N1B5 w - - 3 37
1,1/2-1/2,1k6/1b1pp1r1/1P1p2p1/3P1p2/2B2P1p/4P3/RP1NK3/N1B5 b - - 4 37
1,1/2-1/2,1k4r1/1b1pp3/1P1p2p1/3P1p2/2B2P1p/4P3/RP1NK3/N1B5 w - - 5 38
1,1/2-1/2,1k4r1/1b1pp3/BP1p2p1/3P1p2/5P1p/4P3/RP1NK3/N1B5 b - - 6 38
1,1/2-1/2,bk4r1/3pp3/BP1p2p1/3P1p2/5P1p/4P3/RP1NK3/N1B5 w - - 7 39
1,1/2-1/2,bk4r1/3pp3/BP1p2p1/3P1p2/R4P1p/4P3/1P1NK3/N1B5 b - - 8 39
1,1/2-1/2,1k4r1/3pp3/BP1p2p1/3b1p2/R4P1p/4P3/1P1NK3/N1B5 w - - 0 40
1,1/2-1/2,1k4r1/3pp3/BP1p2p1/3b1p2/RP3P1p/4P3/3NK3/N1B5 b - - 0 40
1,1/2-1/2,1k3r2/3pp3/BP1p2p1/3b1p2/RP3P1p/4P3/3NK3/N1B5 w - - 1 41
1,1/2-1/2,1k3r2/3pp3/BP1p2p1/3b1p2/RP3P1p/B3P3/3NK3/N7 b - - 2 41
1,1/2-1/2,1k3r2/3pp3/BPbp2p1/5p2/RP3P1p/B3P3/3NK3/N7 w - - 3 42
1,1/2-1/2,1k3r2/3pp3/BPbp2p1/R4p2/1P3P1p/B3P3/3NK3/N7 b - - 4 42
